Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan
ARII,Atlas Resources Tbk.,08 Nov 2011,3.750.000.000,Pengembangan
ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.277.992.036,Pengembangan
ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Pengembangan
AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama
BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus
BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama
BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan
BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan
BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,17.926.071.041,Pengembangan
BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.675.817.341,Utama
BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,51.351.733.883,Pemantauan Khusus
BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,Utama
BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.039.383.620,Utama
BGTG,Bank Ganesha Tbk.,12 Mei 2016,23.731.287.132,Utama
BHIT,MNC Asia Holding Tbk.,24 Nov 1997,86.068.156.705,Pemantauan Khusus
BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,Pemantauan Khusus
BIMA,Primarindo Asia Infrastructure,30 Agt 1994,608.175.716,Pemantauan Khusus
BINA,Bank Ina Perdana Tbk.,16 Jan 2014,6.073.369.498,Utama
BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,63.710.196.917,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.376,Pemantauan Khusus
BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama
BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,Utama
BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,10.416.229.249,Utama
BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.865.343.101,Utama
BKDP,Bukit Darmo Property Tbk,15 Jun 2007,7.513.992.252,Pemantauan Khusus
BKSL,Sentul City Tbk.,28 Jul 1997,167.708.902.705,Utama
BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,34.806.467.881,Pengembangan
BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus
BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,Pemantauan Khusus
BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,17.921.635.680,Pengembangan
BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92.399.999.996,Utama
BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,Pengembangan
BMTR,Global Mediacom Tbk.,17 Jul 1995,16.583.997.586,Utama
BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,3.354.120.000,Pengembangan
BNBR,Bakrie & Brothers Tbk,28 Agt 1989,173.416.832.509,Pemantauan Khusus
BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.890.783.784,Utama
BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,Utama
BNLI,Bank Permata Tbk.,15 Jan 1990,35.819.545.925,Utama
BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,Pengembangan
BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,2.673.995.362,Pengembangan
BPII,Batavia Prosperindo Internasio,08 Jul 2014,9.884.153.240,Pengembangan
BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.056.980,Pengembangan
BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,141.784.040.338,Utama
BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,Pengembangan
BRPT,Barito Pacific Tbk.,01 Okt 1993,93.747.218.044,Utama
BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,21.171.365.812,Utama
BSIM,Bank Sinarmas Tbk.,13 Des 2010,19.517.921.842,Utama
BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,Pengembangan
BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,3.651.978.177,Pemantauan Khusus
BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,Pemantauan Khusus
BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.822.665.755,Pemantauan Khusus
BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,Pengembangan
BTPN,Bank SMBC Indonesia Tbk.,12 Mar 2008,10.536.203.690,Utama
BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4.498.997.362,Utama
BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,2.640.452.000,Utama
BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,15.494.436.593,Pengembangan
BUMI,Bumi Resources Tbk.,30 Jul 1990,371.335.392.068,Utama
BUVA,Bukit Uluwatu Villa Tbk.,12 Jul 2010,24.617.054.642,Pengembangan
BVIC,Bank Victoria International Tb,30 Jun 1999,18.235.266.754,Utama
BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31.525.291.000,Utama
BYAN,Bayan Resources Tbk.,12 Agt 2008,33.333.335.000,Utama
CANI,Capitol Nusantara Indonesia Tb,16 Jan 2014,833.440.000,Pemantauan Khusus
CASS,Cahaya Aero Services Tbk.,05 Des 2011,2.086.950.000,Utama
CEKA,Wilmar Cahaya Indonesia Tbk.,09 Jul 1996,595.000.000,Pengembangan
CENT,Centratama Telekomunikasi Indo,01 Nov 2001,31.183.464.900,Pengembangan
CFIN,Clipan Finance Indonesia Tbk.,27 Agt 1990,3.984.520.457,Utama
CINT,Chitose Internasional Tbk.,27 Jun 2014,1.000.000.000,Pengembangan
CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.960.361.250,Utama
CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,Pengembangan
CMNP,Citra Marga Nusaphala Persada ,10 Jan 1995,6.696.354.391,Utama
CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus
CNKO,Exploitasi Energi Indonesia Tb,20 Nov 2001,8.956.361.206,Pemantauan Khusus
CNTX,Century Textile Industry Tbk.,22 Mei 1979,70.000.000,Pemantauan Khusus
COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,Pemantauan Khusus
CPIN,Charoen Pokphand Indonesia Tbk,18 Mar 1991,16.398.000.000,Utama
CPRO,Central Proteina Prima Tbk.,28 Nov 2006,59.572.382.787,Pengembangan
CSAP,Catur Sentosa Adiprana Tbk.,12 Des 2007,5.683.175.151,Pengembangan
CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,Pengembangan
CTRA,Ciputra Development Tbk.,28 Mar 1994,18.535.695.255,Utama
CTTH,Citatah Tbk.,03 Jul 1996,1.230.839.821,Pengembangan
DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,Pengembangan
DEFI,Danasupra Erapacific Tbk.,06 Jul 2001,687.266.666,Pengembangan
DEWA,Darma Henwa Tbk,26 Sep 2007,40.687.434.244,Utama
DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,5.541.165.000,Pengembangan
DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,Utama
DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,Pengembangan
DLTA,Delta Djakarta Tbk.,27 Feb 1984,800.659.050,Utama
DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama
DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,16.721.891.185,Pengembangan
DNET,Indoritel Makmur Internasional,11 Des 2000,14.184.000.000,Utama
DOID,BUMA Internasional Grup Tbk.,15 Jun 2001,7.651.007.132,Utama
DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331.129.952,Pengembangan
DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,1.857.135.500,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,10.599.842.400,Utama
DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,7.705.523.200,Utama
